Order_ID,Приоритет,Количество,Выручка,Метод доставки,Прибыль,Покупатель,Регион,Продукт,Упаковка продукта,Сегмент покупателя,Категория продукта,Подкатегория продукта,Менеджер,Стоимость доставки,Дата
643.0,High,21.0,2781.82,Express Air,-695.26,Monica Federle,Nunavut,"SAFCO Commercial Wire Shelving, Black",Large Box,,,,,,
8995.0,High,35.0,3389.93,Express Air,737.94,Beth Paige,Northwest Territories,Luxo Professional Combination Clamp-On Lamps,Large Box,,,,,,
9127.0,Not Specified,7.0,2039.56,Express Air,-329.49,Bryan Davis,Northwest Territories,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Large Box,,,,,,
26272.0,Low,6.0,905.94,Express Air,-4.19,Carlos Daly,Northwest Territories,Hon Olson Stacker Stools,Large Box,,,,,,
36646.0,Medium,24.0,1168.15,Express Air,-743.96,Muhammed MacIntyre,Northwest Territories,Tennsco Industrial Shelving,Large Box,,,,,,
41696.0,Not Specified,45.0,237.28,Express Air,,Bryan Mills,Northwest Territories,Hoover Portapowerв„ў Portable Vacuum,Large Box,,,,,,
43267.0,Critical,17.0,1368.14,Express Air,171.26,Fred Wasserman,Northwest Territories,Honeywell EnviracaireВ® Portable Air Cleaner for up to 8 x 10 Room,Large Box,,,,,,
29319.0,Low,21.0,4429.69,Express Air,983.55,Filia McAdams,Atlantic,Canon PC-428 Personal Copier,Large Box,,,,,,
5988.0,Not Specified,40.0,19109.61,Express Air,-379.29,Sanjit Chand,West,Sharp AL-1530CS Digital Copier,Large Box,,,,,,
51073.0,Not Specified,17.0,2475.08,Express Air,958.8,Luke Weiss,West,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Large Box,,,,,,
29185.0,High,48.0,446.53,Express Air,-261.45,Rob Dowd,West,Westinghouse Clip-On Gooseneck Lamps,Large Box,,,,,,
32582.0,Not Specified,27.0,2780.88,Express Air,595.38,Tony Chapman,West,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Large Box,,,,,,
39332.0,Critical,4.0,198.72,Express Air,-34.43,Khloe Miller,West,Dana Halogen Swing-Arm Architect Lamp,Large Box,,,,,,
49088.0,Critical,15.0,4012.58,Express Air,-425.14,Kristina Nunn,Atlantic,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Large Box,,,,,,
29318.0,Not Specified,21.0,2954.14,Express Air,-522.94,Bobby Odegard,Ontario,"SAFCO Commercial Wire Shelving, Black",Large Box,,,,,,
50533.0,Not Specified,32.0,1974.66,Express Air,-929.68,Adam Bellavance,Ontario,Space Solutions Commercial Steel Shelving,Large Box,,,,,,
21383.0,Low,31.0,16066.85,Regular Air,,Rick Reed,Northwest Territories,Polycom ViaVideoв„ў Desktop Video Communications Unit,Large Box,,,,,,
48197.0,Not Specified,32.0,1282.49,Regular Air,154.74,Anthony O'Donnell,West,Dana Halogen Swing-Arm Architect Lamp,Large Box,,,,,,
25031.0,High,24.0,4636.62,Regular Air,-318.45,Sally Knutson,West,Hon 2111 Invitationв„ў Series Corner Table,Large Box,,,,,,
38758.0,Not Specified,7.0,497.2,Regular Air,-219.61,Justin Hirsh,West,Euro Pro Shark Stick Mini Vacuum,Large Box,,,,,,
41895.0,Critical,8.0,27663.92,Regular Air,-391.92,Tony Chapman,West,Canon imageCLASS 2200 Advanced Copier,Large Box,,,,,,
53894.0,Critical,37.0,2756.17,Regular Air,,Cathy Armstrong,Atlantic,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Large Box,,,,,,
